id,station,date,prcp,tobs
14686,USC00519281,2016-11-09,0.11,68.0
7397,USC00514830,2016-11-09,0.17,74.0
2442,USC00519397,2016-11-09,0.0,71.0
8869,USC00517948,2016-11-09,0.0,76.0
5169,USC00513117,2016-11-09,0.08,70.0
19279,USC00516128,2016-11-09,0.04,71.0
11927,USC00519523,2016-11-09,0.0,75.0
5170,USC00513117,2016-11-10,0.0,69.0
11928,USC00519523,2016-11-10,0.0,72.0
14687,USC00519281,2016-11-10,0.0,67.0
2443,USC00519397,2016-11-10,0.0,71.0
7398,USC00514830,2016-11-10,0.0,75.0
19280,USC00516128,2016-11-10,0.01,71.0
19281,USC00516128,2016-11-11,0.0,67.0
5171,USC00513117,2016-11-11,0.0,71.0
11929,USC00519523,2016-11-11,0.0,73.0
14688,USC00519281,2016-11-11,0.0,77.0
7399,USC00514830,2016-11-11,0.0,77.0
2444,USC00519397,2016-11-11,0.0,72.0
11930,USC00519523,2016-11-12,0.0,79.0
14689,USC00519281,2016-11-12,0.0,74.0
7400,USC00514830,2016-11-12,0.0,78.0
19282,USC00516128,2016-11-12,0.0,73.0
5172,USC00513117,2016-11-12,0.0,68.0
2445,USC00519397,2016-11-12,0.0,71.0
2446,USC00519397,2016-11-13,0.0,72.0
19283,USC00516128,2016-11-13,0.0,72.0
7401,USC00514830,2016-11-13,0.0,78.0
11931,USC00519523,2016-11-13,0.0,79.0
5173,USC00513117,2016-11-13,0.0,72.0
14690,USC00519281,2016-11-13,0.0,77.0
14691,USC00519281,2016-11-14,0.0,76.0
11932,USC00519523,2016-11-14,0.0,78.0
19284,USC00516128,2016-11-14,0.02,74.0
2447,USC00519397,2016-11-14,0.0,77.0
8870,USC00517948,2016-11-14,0.02,79.0
5174,USC00513117,2016-11-14,0.06,76.0
7402,USC00514830,2016-11-14,0.05,79.0
2448,USC00519397,2016-11-15,0.0,77.0
11933,USC00519523,2016-11-15,0.0,77.0
19285,USC00516128,2016-11-15,0.05,72.0
8871,USC00517948,2016-11-15,,77.0
5175,USC00513117,2016-11-15,0.0,78.0
14692,USC00519281,2016-11-15,0.0,76.0
7403,USC00514830,2016-11-15,0.0,77.0
5176,USC00513117,2016-11-16,0.14,76.0
7404,USC00514830,2016-11-16,0.18,78.0
14693,USC00519281,2016-11-16,0.24,75.0
8872,USC00517948,2016-11-16,,77.0
19286,USC00516128,2016-11-16,0.91,72.0
2449,USC00519397,2016-11-16,0.0,77.0
11934,USC00519523,2016-11-16,0.07,77.0
11935,USC00519523,2016-11-17,0.0,77.0
7405,USC00514830,2016-11-17,0.0,77.0
8873,USC00517948,2016-11-17,,77.0
19287,USC00516128,2016-11-17,0.02,75.0
5177,USC00513117,2016-11-17,0.03,75.0
2450,USC00519397,2016-11-17,0.0,77.0
14694,USC00519281,2016-11-17,0.01,76.0
8874,USC00517948,2016-11-18,,75.0
5178,USC00513117,2016-11-18,0.01,78.0
2451,USC00519397,2016-11-18,0.0,77.0
11936,USC00519523,2016-11-18,0.02,77.0
14695,USC00519281,2016-11-18,0.0,75.0
11937,USC00519523,2016-11-19,0.13,76.0
2452,USC00519397,2016-11-19,0.03,75.0
14696,USC00519281,2016-11-19,0.11,73.0
5179,USC00513117,2016-11-19,0.11,73.0
2453,USC00519397,2016-11-20,0.05,76.0
19288,USC00516128,2016-11-20,,74.0
5180,USC00513117,2016-11-20,0.11,75.0
11938,USC00519523,2016-11-20,0.4,80.0
14697,USC00519281,2016-11-20,0.39,75.0
11939,USC00519523,2016-11-21,0.07,75.0
8875,USC00517948,2016-11-21,,73.0
14698,USC00519281,2016-11-21,0.11,73.0
2454,USC00519397,2016-11-21,0.01,76.0
5181,USC00513117,2016-11-21,0.02,75.0
19289,USC00516128,2016-11-21,2.87,71.0
8876,USC00517948,2016-11-22,,76.0
5182,USC00513117,2016-11-22,0.41,76.0
19290,USC00516128,2016-11-22,2.11,73.0
14699,USC00519281,2016-11-22,2.05,75.0
11940,USC00519523,2016-11-22,0.31,76.0
7406,USC00514830,2016-11-22,,76.0
2455,USC00519397,2016-11-22,0.13,75.0
2456,USC00519397,2016-11-23,0.14,72.0
14700,USC00519281,2016-11-23,0.25,74.0
5183,USC00513117,2016-11-23,0.03,75.0
8877,USC00517948,2016-11-23,,77.0
